YEAR,MONTH OF FIRST GAME,DATE OF FIRST GAME,first_Formatted,CHAMPIONSHIP MONTH,CHAMPIONSHIP DATE
1985,3,14,1985-03-14,April,1
1986,3,13,1986-03-13,March,31
1987,3,12,1987-03-12,March,30
1988,3,17,1988-03-17,April,4
1989,3,16,1989-03-16,April,3
1990,3,15,1990-03-15,April,2
1991,3,14,1991-03-14,April,1
1992,3,19,1992-03-19,April,6
1993,3,18,1993-03-18,April,5
1994,3,17,1994-03-17,April,4
1995,3,16,1995-03-16,April,3
1996,3,14,1996-03-14,April,1
1997,3,13,1997-03-13,March,31
1998,3,12,1998-03-12,March,30
1999,3,11,1999-03-11,March,29
2000,3,16,2000-03-16,April,3
2001,3,13,2001-03-13,April,2
2002,3,12,2002-03-12,April,1
2003,3,18,2003-03-18,April,7
2004,3,16,2004-03-16,April,5
2005,3,15,2005-03-15,April,4
2006,3,14,2006-03-14,April,3
2007,3,13,2007-03-13,April,2
2008,3,18,2008-03-18,April,7
2009,3,17,2009-03-17,April,6
2010,3,16,2010-03-16,April,5
2011,3,15,2011-03-15,April,4
2012,3,13,2012-03-13,April,2
2013,3,19,2013-03-19,April,8
2014,3,18,2014-03-18,April,7
2015,3,17,2015-03-17,April,6
2016,3,15,2016-03-15,April,4
2017,3,14,2017-03-14,April,3
2018,3,13,2018-03-13,April,2