,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
160,2014-12-17,Louisiana-Lafayette,,Milligan,W 115-76,200,42,74,0.568,31,49,0.633,11,25,0.44,20,31,0.645,115
161,2015-12-22,Maryland-Eastern Shore,,Central Pennsylvania College,W 115-86,200,42,62,0.677,33,44,0.75,9,18,0.5,22,32,0.688,115
162,2015-12-28,Utah,,College of Idaho,W 115-74,200,42,67,0.627,31,42,0.738,11,25,0.44,20,31,0.645,115
163,2016-01-25,Green Bay,,Detroit Mercy,W 115-108 (OT),225,37,75,0.493,29,54,0.537,8,21,0.381,33,49,0.673,115
164,2016-02-27,Ball State,,Eastern Michigan,W 115-79,200,38,69,0.551,20,30,0.667,18,39,0.462,21,29,0.724,115
165,2016-11-11,Texas A&M-Corpus Christi,,Our Lady of the Lake,W 115-100,200,37,66,0.561,30,49,0.612,7,17,0.412,34,45,0.756,115
166,2016-11-28,Kentucky,N,Arizona State,W 115-69,200,44,83,0.53,33,55,0.6,11,28,0.393,16,22,0.727,115
167,2017-01-05,East Tennessee State,@,Citadel,W 115-71,200,42,77,0.545,32,54,0.593,10,23,0.435,21,35,0.6,115
168,2017-01-09,IPFW,,Olivet,W 115-60,200,43,71,0.606,22,31,0.71,21,40,0.525,8,12,0.667,115
169,2010-11-12,Stephen F. Austin,,Howard Payne,W 114-49,200,37,75,0.493,29,56,0.518,8,19,0.421,32,46,0.696,114
170,2010-11-14,DePaul,,Chicago State,W 114-81,200,42,71,0.592,37,49,0.755,5,22,0.227,25,34,0.735,114
171,2010-12-11,Virginia Military Institute,,Longwood,W 114-82,200,43,78,0.551,28,44,0.636,15,34,0.441,13,22,0.591,114
172,2010-12-22,Louisville,@,Western Kentucky,W 114-82,200,42,65,0.646,26,35,0.743,16,30,0.533,14,22,0.636,114
173,2011-01-04,Lamar,,Louisiana College,W 114-62,200,40,83,0.482,23,41,0.561,17,42,0.405,17,30,0.567,114
174,2011-12-03,Charleston Southern,,Virginia Military Institute,W 114-81,200,42,69,0.609,29,47,0.617,13,22,0.591,17,20,0.85,114
175,2012-12-30,Morehead State,,Union (KY),W 114-67,200,42,82,0.512,33,61,0.541,9,21,0.429,21,29,0.724,114
176,2013-02-23,Cal State Bakersfield,,Pacifica,W 114-66,200,44,84,0.524,35,54,0.648,9,30,0.3,17,20,0.85,114
177,2013-11-08,Elon,,Washington & Lee,W 114-64,200,41,57,0.719,29,36,0.806,12,21,0.571,20,23,0.87,114
178,2013-11-12,Marquette,,Grambling,W 114-71,200,45,82,0.549,40,64,0.625,5,18,0.278,19,31,0.613,114
179,2013-11-13,Eastern Kentucky,,Warren Wilson,W 114-45,200,40,65,0.615,20,26,0.769,20,39,0.513,14,21,0.667,114
180,2013-11-21,Hawaii,,Hawaii-Hilo,W 114-63,200,47,75,0.627,40,57,0.702,7,18,0.389,13,22,0.591,114
181,2014-01-23,Portland,,Brigham Young,W 114-110 (3OT),275,37,78,0.474,23,55,0.418,14,23,0.609,26,41,0.634,114
182,2014-03-14,Arkansas-Little Rock,N,Arkansas State,L 114-116 (4OT),300,36,89,0.404,28,68,0.412,8,21,0.381,34,40,0.85,114
183,2014-11-16,Illinois,,Coppin State,W 114-56,200,41,74,0.554,26,46,0.565,15,28,0.536,17,19,0.895,114
184,2014-12-16,Southern,,Champion Baptist,W 114-50,200,47,73,0.644,43,65,0.662,4,8,0.5,16,19,0.842,114
185,2015-11-17,Sam Houston State,,St. Thomas (TX),W 114-92,200,30,57,0.526,25,41,0.61,5,16,0.313,49,64,0.766,114
186,2015-12-28,Weber State,,Multnomah,W 114-47,200,43,68,0.632,24,32,0.75,19,36,0.528,9,11,0.818,114
187,2016-02-11,Brigham Young,@,San Francisco,W 114-89,200,38,66,0.576,21,39,0.538,17,27,0.63,21,30,0.7,114
188,2016-02-25,Charlotte,,Texas-San Antonio,W 114-108 (2OT),250,36,67,0.537,27,44,0.614,9,23,0.391,33,39,0.846,114
189,2016-11-20,UCLA,,Long Beach State,W 114-77,200,46,71,0.648,34,51,0.667,12,20,0.6,10,11,0.909,114
190,2016-11-26,Utah Valley,@,Brigham Young,W 114-101,200,36,68,0.529,18,31,0.581,18,37,0.486,24,32,0.75,114
191,2016-12-14,Troy,N,Point University,W 114-52,200,42,72,0.583,32,47,0.681,10,25,0.4,20,27,0.741,114
192,2017-01-14,Hawaii,,Long Beach State,W 114-107 (OT),225,37,61,0.607,26,33,0.788,11,28,0.393,29,40,0.725,114
193,2017-02-14,Florida,@,Auburn,W 114-95,200,33,59,0.559,22,40,0.55,11,19,0.579,37,42,0.881,114
194,2010-11-12,Kansas,,Longwood,W 113-75,200,43,69,0.623,35,50,0.7,8,19,0.421,19,27,0.704,113
195,2010-12-16,Tennessee Tech,N,Hiwassee,W 113-42,200,44,74,0.595,38,58,0.655,6,16,0.375,19,36,0.528,113
196,2011-02-24,Longwood,,Washington Adventist,W 113-84,200,43,69,0.623,37,50,0.74,6,19,0.316,21,27,0.778,113
197,2011-03-02,Lamar,,Texas State,W 113-102,200,40,78,0.513,27,51,0.529,13,27,0.481,20,27,0.741,113
198,2011-11-14,Maine,,Maine-Machias,W 113-49,200,44,63,0.698,30,36,0.833,14,27,0.519,11,13,0.846,113
199,2011-11-14,NJIT,,Penn State-Abington,W 113-61,200,43,76,0.566,33,50,0.66,10,26,0.385,17,22,0.773,113
200,2011-11-18,Detroit Mercy,,Concordia (MI),W 113-68,200,44,79,0.557,35,56,0.625,9,23,0.391,16,27,0.593,113
201,2013-11-10,Valparaiso,,North Park,W 113-50,200,40,57,0.702,28,39,0.718,12,18,0.667,21,27,0.778,113
202,2013-11-11,Texas Southern,,Wiley,W 113-96,200,38,69,0.551,27,42,0.643,11,27,0.407,26,30,0.867,113
203,2013-11-26,Gonzaga,@,Chaminade,W 113-81,200,46,66,0.697,33,43,0.767,13,23,0.565,8,11,0.727,113
204,2013-12-07,Louisville,,Louisiana-Lafayette,W 113-74,200,38,62,0.613,34,44,0.773,4,18,0.222,33,40,0.825,113
205,2014-11-14,Duke,,Presbyterian,W 113-44,200,42,69,0.609,26,38,0.684,16,31,0.516,13,16,0.813,113
206,2014-11-14,UCLA,,Montana State,W 113-78,200,39,68,0.574,30,49,0.612,9,19,0.474,26,40,0.650,113
207,2014-12-05,Nevada-Las Vegas,,St. Katherine,W 113-53,200,41,66,0.621,28,44,0.636,13,22,0.591,18,28,0.643,113
208,2015-02-21,Virginia Military Institute,@,Western Carolina,W 113-111 (2OT),250,34,74,0.459,14,28,0.500,20,46,0.435,25,32,0.781,113
209,2015-11-14,Duke,,Bryant,W 113-75,200,39,73,0.534,26,47,0.553,13,26,0.500,22,29,0.759,113
210,2015-11-16,South Carolina State,,Voorhees,W 113-69,200,35,66,0.530,24,42,0.571,11,24,0.458,32,44,0.727,113
211,2015-11-24,Fairfield,@,Maryland-Eastern Shore,W 113-74,200,41,72,0.569,24,31,0.774,17,41,0.415,14,20,0.700,113
212,2016-11-11,Iowa State,,Savannah State,W 113-71,200,47,85,0.553,39,59,0.661,8,26,0.308,11,20,0.550,113
213,2016-11-17,Portland State,,George Fox,W 113-81,200,38,58,0.655,31,38,0.816,7,20,0.350,30,45,0.667,113
214,2016-12-09,Creighton,,Longwood,W 113-58,200,41,70,0.586,29,48,0.604,12,22,0.545,19,28,0.679,113
215,2016-12-16,William & Mary,,Milligan,W 113-59,200,40,66,0.606,27,38,0.711,13,28,0.464,20,27,0.741,113
216,2016-12-17,Virginia Tech,,Citadel,W 113-71,200,42,69,0.609,31,51,0.608,11,18,0.611,18,26,0.692,113
217,2010-11-12,Coastal Carolina,,Piedmont,W 112-52,200,43,69,0.623,35,48,0.729,8,21,0.381,18,27,0.667,112
218,2010-12-04,Eastern Washington,,New Hope Christian,W 112-41,200,45,77,0.584,27,34,0.794,18,43,0.419,4,6,0.667,112
219,2010-12-11,Austin Peay,,Fontbonne,W 112-52,200,43,75,0.573,35,52,0.673,8,23,0.348,18,24,0.750,112
220,2010-12-18,St. Bonaventure,,Ohio,W 112-107 (4OT),300,38,67,0.567,32,49,0.653,6,18,0.333,30,48,0.625,112
221,2011-11-23,North Carolina Central,,Morris College,W 112-50,200,39,57,0.684,30,38,0.789,9,19,0.474,25,32,0.781,112
222,2011-12-10,Houston Baptist,,Dallas Christian,W 112-80,200,41,84,0.488,35,64,0.547,6,20,0.300,24,31,0.774,112
223,2012-11-17,Cal State Fullerton,N,Southern Utah,W 112-69,200,37,57,0.649,25,40,0.625,12,17,0.706,26,35,0.743,112
224,2012-11-18,Arkansas,,Longwood,W 112-63,200,43,82,0.524,38,61,0.623,5,21,0.238,21,32,0.656,112
225,2012-11-21,North Carolina,@,Chaminade,W 112-70,200,43,69,0.623,30,42,0.714,13,27,0.481,13,21,0.619,112
226,2012-12-18,Yale,,Albertus Magnus,W 112-63,200,42,65,0.646,32,47,0.681,10,18,0.556,18,26,0.692,112
227,2013-02-23,Marist,,Virginia Military Institute,W 112-74,200,41,64,0.641,29,43,0.674,12,21,0.571,18,27,0.667,112
228,2013-03-20,Baylor,,Long Beach State,W 112-66,200,40,63,0.635,24,40,0.600,16,23,0.696,16,25,0.640,112
229,2013-11-11,Brigham Young,@,Stanford,W 112-103,200,38,71,0.535,30,56,0.536,8,15,0.533,28,43,0.651,112
230,2013-11-20,Virginia Military Institute,,Bridgewater (VA),W 112-86,200,44,91,0.484,34,58,0.586,10,33,0.303,14,19,0.737,112
231,2013-11-30,South Dakota,,Graceland (IA),W 112-85,200,42,73,0.575,29,44,0.659,13,29,0.448,15,27,0.556,112
232,2013-12-19,Tennessee Tech,,Hillsdale Baptist/Randall (Ok.),W 112-56,200,40,83,0.482,31,60,0.517,9,23,0.391,23,32,0.719,112
233,2014-01-02,IUPUI,,Judson,W 112-50,200,42,74,0.568,35,59,0.593,7,15,0.467,21,23,0.913,112
234,2015-01-10,Columbia,,Central Pennsylvania College,W 112-63,200,37,69,0.536,21,34,0.618,16,35,0.457,22,26,0.846,112
235,2015-11-13,North Texas,,Jarvis Christian,W 112-82,200,37,71,0.521,28,50,0.560,9,21,0.429,29,54,0.537,112
236,2015-11-25,Oral Roberts,,Tabor College,W 112-80,200,37,70,0.529,25,42,0.595,12,28,0.429,26,37,0.703,112
237,2015-11-30,Indiana,,Alcorn State,W 112-70,200,39,58,0.672,24,32,0.750,15,26,0.577,19,25,0.760,112
238,2015-12-30,Austin Peay,,Westminster (MO),W 112-61,200,45,76,0.592,38,59,0.644,7,17,0.412,15,22,0.682,112
239,2016-01-28,Eastern Washington,,Portland State,W 112-83,200,37,58,0.638,17,27,0.630,20,31,0.645,18,27,0.667,112
240,2016-02-04,Texas-El Paso,,Marshall,W 112-108,200,37,66,0.561,26,48,0.542,11,18,0.611,27,37,0.730,112
241,2016-02-06,Central Arkansas,,New Orleans,W 112-77,200,41,66,0.621,32,42,0.762,9,24,0.375,21,25,0.840,112
242,2016-03-16,Nebraska-Omaha,@,Duquesne,L 112-120,200,34,80,0.425,19,45,0.422,15,35,0.429,29,36,0.806,112
243,2016-11-15,Illinois,,McKendree,W 112-65,200,44,79,0.557,28,51,0.549,16,28,0.571,8,13,0.615,112
244,2016-11-18,Stetson,,Citadel,L 112-116,200,39,74,0.527,30,52,0.577,9,22,0.409,25,34,0.735,112
245,2016-11-20,Creighton,N,North Carolina State,W 112-94,200,40,66,0.606,27,39,0.692,13,27,0.481,19,24,0.792,112
246,2016-11-22,Nebraska-Omaha,,Buena Vista,W 112-65,200,40,69,0.580,24,35,0.686,16,34,0.471,16,27,0.593,112
247,2016-11-22,North Florida,,Florida National University,W 112-66,200,45,72,0.625,37,57,0.649,8,15,0.533,14,25,0.560,112
248,2016-12-17,West Virginia,,Missouri-Kansas City,W 112-67,200,41,77,0.532,30,45,0.667,11,32,0.344,19,27,0.704,112
249,2016-12-19,William & Mary,,Savannah State,W 112-85,200,36,70,0.514,17,26,0.654,19,44,0.432,21,34,0.618,112
250,2016-12-28,Pittsburgh,,Marshall,W 112-106,200,38,73,0.521,28,49,0.571,10,24,0.417,26,37,0.703,112
251,2017-01-14,Sacred Heart,@,Bryant,W 112-110 (3OT),275,39,74,0.527,28,47,0.596,11,27,0.407,23,35,0.657,112
252,2017-01-19,Lipscomb,@,Jacksonville,W 112-95,200,33,49,0.673,25,29,0.862,8,20,0.400,38,52,0.731,112
253,2017-02-11,Rider,,Quinnipiac,W 112-107,200,34,58,0.586,21,39,0.538,13,19,0.684,31,36,0.861,112
254,2010-11-12,Valparaiso,,Indiana-Northwest,W 111-64,200,43,74,0.581,36,51,0.706,7,23,0.304,18,26,0.692,111
255,2010-11-22,Longwood,,Montreat,W 111-62,200,41,77,0.532,28,47,0.596,13,30,0.433,16,21,0.762,111
256,2010-11-26,Iowa,,Southern Illinois-Edwardsville,W 111-50,200,37,63,0.587,27,45,0.600,10,18,0.556,27,38,0.711,111
257,2010-11-30,Georgetown,N,Missouri,W 111-102 (OT),225,39,69,0.565,24,37,0.649,15,32,0.469,18,18,1.000,111
258,2010-12-01,Southeastern Louisiana,,Dillard,W 111-67,200,39,64,0.609,31,48,0.646,8,16,0.500,25,33,0.758,111
259,2011-01-25,Florida Gulf Coast,@,Stetson,W 111-103 (3OT),275,30,61,0.492,20,42,0.476,10,19,0.526,41,60,0.683,111
260,2011-01-27,Chattanooga,,North Carolina-Greensboro,W 111-110 (2OT),250,32,54,0.593,21,31,0.677,11,23,0.478,36,53,0.679,111
261,2011-11-11,Davidson,,Guilford,W 111-64,200,37,76,0.487,26,40,0.650,11,36,0.306,26,36,0.722,111
262,2011-11-13,Montana State,,Northern New Mexico,W 111-61,200,46,72,0.639,40,53,0.755,6,19,0.316,13,21,0.619,111
263,2012-01-04,Buffalo,,Buffalo State,W 111-59,200,39,81,0.481,30,58,0.517,9,23,0.391,24,42,0.571,111
264,2012-02-29,Seattle,,Longwood,W 111-74,200,42,82,0.512,26,46,0.565,16,36,0.444,11,18,0.611,111
265,2012-12-04,East Carolina,,St. Andrews,W 111-59,200,37,73,0.507,19,37,0.514,18,36,0.500,19,27,0.704,111
266,2013-11-08,Duke,,Davidson,W 111-77,200,38,54,0.704,25,33,0.758,13,21,0.619,22,32,0.688,111
267,2013-11-10,Maine,,Fisher College,W 111-64,198,44,74,0.595,34,54,0.630,10,20,0.500,13,21,0.619,111
268,2013-11-13,Texas-Arlington,,Howard Payne,W 111-64,200,40,71,0.563,27,39,0.692,13,32,0.406,18,28,0.643,111
269,2013-11-15,Northwestern State,@,Auburn,W 111-92,200,36,72,0.500,22,45,0.489,14,27,0.519,25,29,0.862,111
270,2013-11-22,Mississippi,,Mississippi Valley State,W 111-82,200,36,71,0.507,27,52,0.519,9,19,0.474,30,38,0.789,111
271,2013-11-24,Northern Illinois,,Saint Joseph's (IN),W 111-61,200,41,81,0.506,35,62,0.565,6,19,0.316,23,32,0.719,111
272,2013-12-03,Arkansas,,Southeastern Louisiana,W 111-65,201,38,61,0.623,29,43,0.674,9,18,0.500,26,34,0.765,111
273,2013-12-04,Radford,,Central Pennsylvania College,W 111-72,200,41,64,0.641,31,46,0.674,10,18,0.556,19,26,0.731,111
274,2014-03-18,Virginia Military Institute,@,Canisius,W 111-100,200,36,72,0.500,27,42,0.643,9,30,0.300,30,34,0.882,111
275,2014-11-18,East Tennessee State,,Virginia Wise,W 111-66,200,42,87,0.483,28,54,0.519,14,33,0.424,13,22,0.591,111
276,2014-11-29,Sam Houston State,,University of the Southwest,W 111-51,200,38,69,0.551,26,39,0.667,12,30,0.400,23,35,0.657,111
277,2014-12-02,Elon,,Virginia-Lynchburg,W 111-55,200,41,88,0.466,28,55,0.509,13,33,0.394,16,22,0.727,111
278,2015-02-21,Western Carolina,,Virginia Military Institute,L 111-113 (2OT),250,40,79,0.506,33,57,0.579,7,22,0.318,24,34,0.706,111
279,2015-11-16,Fairleigh Dickinson,,Fairleigh Dickinson-Florham,W 111-70,200,48,79,0.608,43,62,0.694,5,17,0.294,10,14,0.714,111
280,2015-12-03,Oklahoma,,Central Arkansas,W 111-68,200,36,69,0.522,23,47,0.489,13,22,0.591,26,35,0.743,111
281,2015-12-05,Louisville,,Grand Canyon,W 111-63,200,38,70,0.543,28,48,0.583,10,22,0.455,25,36,0.694,111
282,2015-12-13,High Point,,Virginia Wise,W 111-74,200,39,66,0.591,33,55,0.600,6,11,0.545,27,36,0.750,111
283,2015-12-29,Charlotte,,Citadel,W 111-93,200,42,70,0.600,36,52,0.692,6,18,0.333,21,34,0.618,111
284,2016-01-23,Oakland,@,Green Bay,W 111-95,200,36,63,0.571,23,41,0.561,13,22,0.591,26,31,0.839,111
285,2016-02-06,Fresno State,,Nevada-Las Vegas,W 111-104 (2OT),250,40,89,0.449,29,59,0.492,11,30,0.367,20,25,0.800,111
286,2016-02-13,Oakland,,Green Bay,W 111-93,200,35,69,0.507,23,39,0.590,12,30,0.400,29,33,0.879,111
287,2016-02-27,Virginia Military Institute,,Citadel,W 111-95,200,40,72,0.556,29,45,0.644,11,27,0.407,20,26,0.769,111
288,2016-11-11,Georgia State,,Thomas University,W 111-69,200,35,68,0.515,26,48,0.542,9,20,0.450,32,41,0.780,111
289,2016-11-18,Kent State,,Hiram,W 111-55,200,38,79,0.481,27,52,0.519,11,27,0.407,24,32,0.750,111
290,2016-11-25,Kentucky,,Tennessee-Martin,W 111-76,200,41,74,0.554,34,52,0.654,7,22,0.318,22,29,0.759,111
291,2016-11-25,Ohio State,,Marshall,W 111-70,200,45,82,0.549,35,53,0.660,10,29,0.345,11,23,0.478,111
292,2016-12-10,Marshall,,Toledo,W 111-105 (OT),225,42,67,0.627,33,48,0.688,9,19,0.474,18,23,0.783,111
293,2016-12-19,Citadel,@,Maryland-Baltimore County,L 111-120 (2OT),250,39,104,0.375,20,54,0.370,19,50,0.380,14,18,0.778,111
294,2016-12-19,Morehead State,,Central Arkansas,W 111-85,200,39,73,0.534,21,38,0.553,18,35,0.514,15,20,0.750,111
295,2010-11-13,Duquesne,,Bluefield (WV),W 110-67,200,41,84,0.488,25,45,0.556,16,39,0.410,12,23,0.522,110
296,2010-11-19,Duke,,Colgate,W 110-58,200,34,72,0.472,22,42,0.524,12,30,0.400,30,39,0.769,110
297,2011-01-27,North Carolina-Greensboro,@,Chattanooga,L 110-111 (2OT),250,39,83,0.470,22,40,0.550,17,43,0.395,15,18,0.833,110
298,2011-01-31,Norfolk State,@,Coppin State,W 110-108 (2OT),250,37,75,0.493,27,53,0.509,10,22,0.455,26,44,0.591,110
299,2011-03-07,Oakland,N,South Dakota State,W 110-90,200,45,78,0.577,33,57,0.579,12,21,0.571,8,11,0.727,110
300,2011-12-04,Michigan State,,Nebraska-Omaha,W 110-68,200,46,75,0.613,38,59,0.644,8,16,0.500,10,11,0.909,110
301,2011-12-12,Longwood,,Virginia Military Institute,W 110-89,200,43,81,0.531,23,41,0.561,20,40,0.5,4,7,0.571,110
302,2011-12-30,Duke,,Western Michigan,W 110-70,200,34,63,0.54,20,36,0.556,14,27,0.519,28,35,0.8,110
303,2012-11-09,Weber State,,Arizona Christian,W 110-52,200,39,61,0.639,26,36,0.722,13,25,0.52,19,30,0.633,110
304,2012-11-11,Tulsa,,Louisiana State-Shreveport,W 110-54,200,36,69,0.522,23,43,0.535,13,26,0.5,25,30,0.833,110
305,2012-12-29,Weber State,,University of the Southwest,W 110-45,200,46,66,0.697,34,44,0.773,12,22,0.545,6,13,0.462,110
306,2013-01-02,Virginia Military Institute,,Shenandoah,W 110-54,200,44,77,0.571,30,42,0.714,14,35,0.4,8,11,0.727,110
307,2013-11-08,Georgia Southern,,Columbia International,W 110-74,200,38,67,0.567,31,45,0.689,7,22,0.318,27,43,0.628,110
308,2013-11-13,North Dakota,,Minnesota-Morris,W 110-69,200,43,75,0.573,33,55,0.6,10,20,0.5,14,22,0.636,110
309,2013-11-15,Boise State,,Simpson (CA),W 110-53,200,36,64,0.563,21,39,0.538,15,25,0.6,23,36,0.639,110
310,2013-11-17,UC-Irvine,,Pacifica,W 110-73,200,41,70,0.586,35,58,0.603,6,12,0.5,22,26,0.846,110
311,2013-11-25,Iowa State,,Missouri-Kansas City,W 110-51,200,36,70,0.514,24,38,0.632,12,32,0.375,26,39,0.667,110
312,2013-12-09,Virginia Military Institute,,Virginia-Lynchburg,W 110-78,200,41,91,0.451,30,44,0.682,11,47,0.234,17,26,0.654,110
313,2014-01-04,IPFW,,Kalamazoo,W 110-74,200,38,59,0.644,22,32,0.688,16,27,0.593,18,26,0.692,110
314,2014-01-23,Brigham Young,@,Portland,L 110-114 (3OT),275,36,80,0.45,27,56,0.482,9,24,0.375,29,43,0.674,110
315,2014-02-06,NJIT,,Wheelock,W 110-46,200,43,62,0.694,31,43,0.721,12,19,0.632,12,16,0.75,110
316,2014-03-05,Arkansas,,Mississippi,W 110-80,200,37,77,0.481,20,47,0.426,17,30,0.567,19,20,0.95,110
317,2014-11-14,Chattanooga,,Hiwassee,W 110-53,200,37,68,0.544,28,41,0.683,9,27,0.333,27,41,0.659,110
318,2014-11-22,North Carolina-Wilmington,@,Virginia Military Institute,W 110-93,200,47,79,0.595,45,72,0.625,2,7,0.286,14,20,0.7,110
